브랜드,중분류,소분류,상품명,정가,할인가
아바마트,메이크업 도구,메이크업 브러쉬,프로 듀오 세트,"54,000","42,000"
아바마트,메이크업 도구,메이크업 브러쉬,비건 뽀송베이스 브러쉬 세트,"33,000","33,000"
아바마트,메이크업 도구,메이크업 브러쉬,레드 아이브러쉬 3종 세트,"40,000","31,000"
캐트리스,색조 메이크업 아이,색조 메이크업 아이섀도우,블러쉬 박스,"6,200","8,000"
캐트리스,베이스 메이크업 제품,베이스 메이크업용 파운데이션,트루 스킨 하이드레이팅 파운데이션,"14,400","18,000"
캐트리스,색조 메이크업 기타,색조 메이크업 쉐딩/하이라이터,모어 댄 글로우 하이라이터 5.9g,"9,600","12,000"
캐트리스,베이스 메이크업 제품,베이스 메이크업용 컨실러,인스턴트 어웨이크 컨실러,"10,800","12,000"
캐트리스,색조 메이크업 아이,색조 메이크업 아이섀도우,HD리퀴드커버리지파운데이션 + 프로슬림아이섀도팔레트 SET,"25,050","33,400"
캐트리스,색조 메이크업 아이,색조 메이크업 아이섀도우,HD 리퀴드 커버리지 파운데이션+더컬렉션아이섀도팔레트 SET,"19,125","25,500"
캐트리스,베이스 메이크업 제품,베이스 메이크업용 파운데이션,HD 리퀴드 커버리지 파운데이션 듀오,"20,900","27,000"
캐트리스,색조 메이크업 아이,색조 메이크업 아이섀도우,블러쉬 박스 글로잉 & 멀티컬러 듀오,"13,900","18,000"
캐트리스,색조 메이크업 아이,색조 메이크업 아이섀도우,블러쉬 박스 1+1,"11,000","16,000"
캐트리스,베이스 메이크업 제품,베이스 메이크업용 컨실러,캐머플라지 크림,"5,850","6,500"
캐트리스,베이스 메이크업 제품,베이스 메이크업용 컨실러,리퀴드 캐머플라지 하이 커버리지 컨실러 5ml,"5,500","8,500"
캐트리스,베이스 메이크업 제품,베이스 메이크업용 파운데이션,HD 리퀴드 커버리지 파운데이션,"10,500","13,500"
캐트리스,베이스 메이크업 제품,베이스 메이크업용 가루파우더,하이 글로우 미네랄 하이라이팅 파우더,"7,200","11,000"
캐트리스,베이스 메이크업 제품,베이스 메이크업용 파운데이션,캐트리스 트루 스킨 하이드레이팅 파운데이션,"18,000", 
캐트리스,색조 메이크업 기타,색조 메이크업 쉐딩/하이라이터,모어 댄 글로우 하이라이터 5.9g,"9,600","12,000"
캐트리스,베이스 메이크업 제품,베이스 메이크업용 파운데이션,트루 스킨 하이드레이팅 파운데이션,"14,900","18,000"
캐트리스,색조 메이크업 아이,색조 메이크업 아이섀도우,HD리퀴드커버리지파운데이션 + 프로슬림아이섀도팔레트 SET,"22,800","33,400"
캐트리스,베이스 메이크업 제품,베이스 메이크업용 컨실러,인스턴트 어웨이크 컨실러,"8,700","12,000"
